cae --md5 basic
reg info write: 0xc540f600, 0x00000000
reg info write: 0xc540f010, 0x00000000
reg info write: 0xc540f014, 0x00000000
reg info write: 0xc540f018, 0x00000000
reg info write: 0xc540f01c, 0x00000000
reg info write: 0xc540f410, 0x00000000
reg info write: 0xc540f414, 0x00000000
reg info write: 0xc540f418, 0x00000000
reg info write: 0xc540f41c, 0x00000000
reg info write: 0xc540f200, 0x40000001
reg info write: 0xc540f600, 0x40000001
reg info read: 0xc5411040, 0x00000000
reg info write: 0xc5411044, 0x00000000
reg info write: 0xc5411048, 0x48c24cfd
reg info write: 0xc541104c, 0x6c07f742
reg info write: 0xc5411050, 0xaee75681
reg info write: 0xc5411054, 0x0f27c239
reg info write: 0xc5411058, 0x79947198
reg info write: 0xc541105c, 0xe2991275
reg info write: 0xc5411070, 0x21ac3c7c
reg info write: 0xc5411074, 0xd008c4b4
reg info write: 0xc5411044, 0x00000003
reg info read: 0xc540f204, 0x0000f000
reg info read: 0xc540f604, 0x0000f000
reg info read: 0xc5411000, 0x00414004
reg info read: 0xc541100c, 0x00000000
reg info read: 0xc5411018, 0xfe40044f
reg info read: 0xc5411040, 0x00000000
DA_PEC loaded
DA_PEC: Initializing PEC for interface ID 0
reg info write: 0xc540002c, 0x80000000
reg info write: 0xc5400034, 0x00000000
reg info write: 0xc5400000, 0x00000000
reg info write: 0xc5400004, 0x00000000
reg info write: 0xc5400018, 0x00000000
reg info write: 0xc540001c, 0x00000000
reg info write: 0xc5400020, 0x00000000
reg info write: 0xc5400024, 0x01000000
reg info write: 0xc540003c, 0x0000001f
reg info write: 0xc540082c, 0x80000000
reg info write: 0xc5400830, 0x80000000
reg info write: 0xc5400834, 0x00000000
reg info write: 0xc5400838, 0x00000000
reg info write: 0xc5400800, 0x00000000
reg info write: 0xc5400804, 0x00000000
reg info write: 0xc5400818, 0x00000000
reg info write: 0xc540081c, 0x00000000
reg info write: 0xc5400820, 0x00000000
reg info write: 0xc5400824, 0x01800000
reg info write: 0xc5400828, 0x00000000
reg info write: 0xc540083c, 0x000000ff
dma resource alloc bus: 0x140bdf80, 0x140c0840
dma resource alloc final: 0x140bdf80, 0x140c0840, 0x140c0840, 0x140c0840
dma resource check: 0x140bdf7c, 0x140c0848, 0x140c0848
reg info write: 0xc5400000, 0x7fffffff
reg info read: 0xc5400000, 0x7fffffff
reg info write: 0xc5400000, 0x00000000
reg info read: 0xc5400000, 0x00000000
reg info read: 0xc540003c, 0x00200000
dma resource write: 0x140c0848, 0x0
dma resource write: 0x140c084c, 0x0
dma resource write: 0x140c0850, 0x0
dma resource write: 0x140c0854, 0x0
dma resource write: 0x140c0858, 0x0
dma resource write: 0x140c085c, 0x0
dma resource write: 0x140c0868, 0x0
dma resource write: 0x140c086c, 0x0
dma resource write: 0x140c0870, 0x0
dma resource write: 0x140c0874, 0x0
dma resource write: 0x140c0878, 0x0
