Voltage,Board,CORE,1020,1080,1140,1200,1260,1320,1380,1440,1500,1560,1608,1680,1728,1800,1848,1920,1968,2040,2088,2160,2208,2280,2328,2400,2448,2520,2568
900,12,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,
950,12,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,
1000,12,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
1050,12,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
650,12,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,,,,,,,,
720,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,,
800,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,
850,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,
900,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,
950,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
1000,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
1050,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
650,12,2,1,1,1,1,1,1,1,X,,,,,,,,,,,,,,,,,,,
720,12,2,1,1,1,1,1,1,1,1,1,1,1,1,X,X,,,,,,,,,,,,,
800,12,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,
850,12,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,
900,12,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,
950,12,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,
1000,12,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
1050,12,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,
650,12,3,1,1,1,1,1,1,1,X,,,,,,,,,,,,,,,,,,,
720,12,3,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,,
800,12,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,
850,12,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,
900,12,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,
950,12,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,
1000,12,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
1050,12,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,
650,12,4,1,1,1,1,1,1,X,,,,,,,,,,,,,,,,,,,,
720,12,4,1,1,1,1,1,1,1,1,1,1,1,1,X,X,,,,,,,,,,,,,
800,12,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,
850,12,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,
900,12,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,
950,12,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,
1000,12,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
1050,12,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,
650,12,5,1,1,1,1,1,1,X,,,,,,,,,,,,,,,,,,,,
720,12,5,1,1,1,1,1,1,1,1,1,1,1,1,X,X,,,,,,,,,,,,,
800,12,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,
850,12,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,
900,12,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,
950,12,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,
1000,12,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
1050,12,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,
650,12,6,1,1,1,1,1,1,1,X,,,,,,,,,,,,,,,,,,,
720,12,6,1,1,1,1,1,1,1,1,1,1,1,1,X,X,,,,,,,,,,,,,
800,12,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,
850,12,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,
900,12,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,
950,12,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,
1000,12,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
1050,12,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,
650,12,7,1,1,1,1,1,1,1,X,,,,,,,,,,,,,,,,,,,
720,12,7,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,,
800,12,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,
850,12,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,
900,12,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,
950,12,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,
1000,12,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
1050,12,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,
650,13,0,1,1,1,1,1,1,1,X,,,,,,,,,,,,,,,,,,,
720,13,0,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,,
800,13,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,
850,13,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,
900,13,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,
950,13,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
1000,13,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,
1050,13,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,
650,13,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,,,,,,,,
720,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,
800,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,
850,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,
900,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,
950,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
1000,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
1050,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,
650,13,2,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,,,,,,,
720,13,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,
800,13,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,
850,13,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,
900,13,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,
950,13,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
1000,13,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,
1050,13,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X
650,13,3,1,1,1,1,1,1,1,X,,,,,,,,,,,,,,,,,,,
720,13,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,
800,13,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,
850,13,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,
900,13,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,
950,13,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
1000,13,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,
1050,13,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,
650,13,4,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,,,,,,,
720,13,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,
800,13,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,
850,13,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,
900,13,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,
950,13,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
1000,13,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,
1050,13,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,
650,13,5,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,,,,,,,
720,13,5,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,,
800,13,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,
850,13,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,
900,13,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,
950,13,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
1000,13,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,
1050,13,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,
650,13,6,1,1,1,1,1,1,1,X,,,,,,,,,,,,,,,,,,,
720,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,
800,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,
850,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,
900,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,
950,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
1000,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,
1050,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,
650,13,7,1,1,1,1,1,1,X,,,,,,,,,,,,,,,,,,,,
720,13,7,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,,
800,13,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,
850,13,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,
900,13,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,
950,13,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
1000,13,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,
1050,13,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,
