Voltage,Board,CORE,1020,1080,1140,1200,1260,1320,1380,1440,1500,1560,1608,1680,1728,1800,1848,1920,1968,2040,2088,2160,2208,2280,2328,2400,2448,2520,2568
720,2,5,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,,,,
800,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,
850,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,
900,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,
950,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,
1000,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,x,,,,
1050,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
650,2,6,1,1,1,1,1,X,,,,,,,,,,,,,,,,,,,,,
720,2,6,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,,,,
800,2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,
850,2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,
900,2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,
950,2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,
1000,2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,x,,,,
1050,2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
650,2,7,1,1,1,1,1,X,,,,,,,,,,,,,,,,,,,,,
720,2,7,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,,,,
800,2,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,
850,2,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,
